Id,Label,SUID,shared name,name,selected,KEGG_NODE_X,KEGG_NODE_Y,KEGG_NODE_WIDTH,KEGG_NODE_HEIGHT,KEGG_NODE_LABEL,KEGG_NODE_LABEL_LIST_FIRST,KEGG_NODE_LABEL_LIST,KEGG_ID,KEGG_NODE_LABEL_COLOR,KEGG_NODE_FILL_COLOR,KEGG_NODE_REACTIONID,KEGG_NODE_TYPE,KEGG_NODE_SHAPE,KEGG_LINK,KEGG_DEFINITION
592,Heptadecatrienal,592,path:ath00592:88,path:ath00592:88,false,137,376,8,8,C16343,Heptadecatrienal,[C16343],[cpd:C16343],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C16343,
589,Linolenate,589,path:ath00592:87,path:ath00592:87,false,246,190,8,8,C06427,Linolenate,[C06427],[cpd:C06427],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C06427,
586,Colnelenic acid,586,path:ath00592:86,path:ath00592:86,false,461,329,8,8,C16320,Colnelenic acid,[C16320],[cpd:C16320],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C16320,
583,Traumatic acid,583,path:ath00592:85,path:ath00592:85,false,644,484,8,8,C16308,Traumatic acid,[C16308],[cpd:C16308],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C16308,
580,2(R)-HPOT,580,path:ath00592:84,path:ath00592:84,false,137,304,8,8,C16341,2(R)-HPOT,[C16341],[cpd:C16341],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C16341,
577,2(R)-HOT,577,path:ath00592:83,path:ath00592:83,false,68,304,8,8,C16342,2(R)-HOT,[C16342],[cpd:C16342],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C16342,
574,9(S)-HPOT,574,path:ath00592:82,path:ath00592:82,false,353,304,8,8,C16321,9(S)-HPOT,[C16321],[cpd:C16321],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C16321,
571,"9,10-EOT",571,path:ath00592:81,path:ath00592:81,false,353,376,8,8,C16324,"9,10-EOT",[C16324],[cpd:C16324],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C16324,
568,"3,6-Nonadienal",568,path:ath00592:80,path:ath00592:80,false,439,252,8,8,C16323,"3,6-Nonadienal",[C16323],[cpd:C16323],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C16323,
565,Heptadecatrienoic acid,565,path:ath00592:79,path:ath00592:79,false,137,431,8,8,C16344,Heptadecatrienoic acid,[C16344],[cpd:C16344],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C16344,
562,Lecithin,562,path:ath00592:78,path:ath00592:78,false,246,118,8,8,C00157,Lecithin,[C00157],[cpd:C00157],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C00157,
559,Volicitin,559,path:ath00592:77,path:ath00592:77,false,68,230,8,8,C16345,Volicitin,[C16345],[cpd:C16345],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C16345,
556,LOX3...,556,path:ath00592:76,path:ath00592:76,false,299,304,46,17,LOX3...,LOX3...,[LOX3...],"[ath:AT1G17420, ath:AT1G67560, ath:AT1G72520, ath:AT3G45140]","#000000","#BFFFBF",rn:R07864,gene,rectangle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT1G17420+ath:AT1G67560+ath:AT1G72520+ath:AT3G45140,
553,DAD1...,553,path:ath00592:75,path:ath00592:75,false,271,148,46,17,DAD1...,DAD1...,[DAD1...],"[ath:AT2G44810, ath:AT3G03310, ath:AT4G19860]","#000000","#BFFFBF",rn:R07860,gene,rectangle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT2G44810+ath:AT3G03310+ath:AT4G19860,
550,ALPHA_DOX2...,550,path:ath00592:74,path:ath00592:74,false,191,304,46,17,ALPHA_DOX2...,ALPHA_DOX2...,[ALPHA_DOX2...],"[ath:AT1G73680, ath:AT3G01420]","#000000","#BFFFBF",rn:R12775,gene,rectangle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT1G73680+ath:AT3G01420,
547,K10226,547,path:ath00592:73,path:ath00592:73,false,299,190,46,17,K10226,K10226,[K10226],[ko:K10226],"#000000","#FFFFFF",rn:R07861,ortholog,rectangle,https://www.kegg.jp/dbget-bin/www_bget?K10226,
544,K10528,544,path:ath00592:72,path:ath00592:72,false,403,304,46,17,K10528,K10528,[K10528],[ko:K10528],"#000000","#FFFFFF",rn:R07868,ortholog,rectangle,https://www.kegg.jp/dbget-bin/www_bget?K10528,
541,AT1G20480...,541,path:ath00592:71,path:ath00592:71,false,600,556,46,17,AT1G20480...,AT1G20480...,[AT1G20480...],"[ath:AT1G20480, ath:AT1G20490, ath:AT1G20500, ath:AT1G20510, ath:AT5G38120]","#000000","#BFFFBF",rn:R07887,gene,rectangle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT1G20480+ath:AT1G20490+ath:AT1G20500+ath:AT1G20510+ath:AT5G38120,
538,PLA2-ALPHA...,538,path:ath00592:70,path:ath00592:70,false,221,148,46,17,PLA2-ALPHA...,PLA2-ALPHA...,[PLA2-ALPHA...],"[ath:AT2G06925, ath:AT3G57140, ath:AT5G04040]","#000000","#BFFFBF",rn:R07859,gene,rectangle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT2G06925+ath:AT3G57140+ath:AT5G04040,
535,AOS,535,path:ath00592:69,path:ath00592:69,false,353,345,46,17,AOS,AOS,[AOS],[ath:AT5G42650],"#000000","#BFFFBF",rn:R07865,gene,rectangle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT5G42650,
532,AOC4...,532,path:ath00592:68,path:ath00592:68,false,403,556,46,17,AOC4...,AOC4...,[AOC4...],"[ath:AT1G13280, ath:AT3G25760, ath:AT3G25770, ath:AT3G25780]","#000000","#BFFFBF",rn:R03402,gene,rectangle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT1G13280+ath:AT3G25760+ath:AT3G25770+ath:AT3G25780,
529,TITLE:alpha-Linolenic acid metabolism,529,path:ath00592:67,path:ath00592:67,false,166,58,252,25,TITLE:alpha-Linolenic acid metabolism,TITLE:alpha-Linolenic acid metabolism,[TITLE:alpha-Linolenic acid metabolism],[path:ath00592],"#000000","#f5f5f5",,map,roundrectangle,https://www.kegg.jp/dbget-bin/www_bget?ath00592,
526,9-Oxononanoic acid,526,path:ath00592:65,path:ath00592:65,false,461,304,8,8,C16322,9-Oxononanoic acid,[C16322],[cpd:C16322],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C16322,
