Id,Label,SUID,shared name,name,selected,KEGG_NODE_X,KEGG_NODE_Y,KEGG_NODE_WIDTH,KEGG_NODE_HEIGHT,KEGG_NODE_LABEL,KEGG_NODE_LABEL_LIST_FIRST,KEGG_NODE_LABEL_LIST,KEGG_ID,KEGG_NODE_LABEL_COLOR,KEGG_NODE_FILL_COLOR,KEGG_NODE_REACTIONID,KEGG_NODE_TYPE,KEGG_NODE_SHAPE,KEGG_LINK,KEGG_DEFINITION
1328,IMD1,1328,path:ath00966:41,path:ath00966:41,false,232,740,1,1,IMD1,IMD1,[IMD1],[ath:AT5G14200],"#66CC66","#FFFFFF",rn:R08642,gene,circle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT5G14200," isopropylmalate dehydrogenase 1 [KO:K21360] [EC:1.1.1.85 1.1.1.-]"
1325,IPMI2,1325,path:ath00966:40,path:ath00966:40,false,232,701,1,1,IPMI2...,IPMI2,[IPMI2...],"[ath:AT2G43100, ath:AT3G58990, ath:AT4G13430]","#66CC66","#FFFFFF",rn:R08641,gene,circle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT2G43100+ath:AT3G58990+ath:AT4G13430," isopropylmalate isomerase 2 [KO:K21359] [EC:4.2.1.33 4.2.1.170]"
1322,IMS2,1322,path:ath00966:39,path:ath00966:39,false,232,662,1,1,IMS2,IMS2,[IMS2],[ath:AT5G23020],"#66CC66","#FFFFFF",rn:R08640,gene,circle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT5G23020," 2-isopropylmalate synthase 2 [KO:K15742] [EC:2.3.3.17]"
1319,IMD1,1319,path:ath00966:37,path:ath00966:37,false,232,623,1,1,IMD1,IMD1,[IMD1],[ath:AT5G14200],"#66CC66","#FFFFFF",rn:R08636,gene,circle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT5G14200," isopropylmalate dehydrogenase 1 [KO:K21360] [EC:1.1.1.85 1.1.1.-]"
1316,IPMI2,1316,path:ath00966:36,path:ath00966:36,false,232,584,1,1,IPMI2...,IPMI2,[IPMI2...],"[ath:AT2G43100, ath:AT3G58990, ath:AT4G13430]","#66CC66","#FFFFFF",rn:R08634,gene,circle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT2G43100+ath:AT3G58990+ath:AT4G13430," isopropylmalate isomerase 2 [KO:K21359] [EC:4.2.1.33 4.2.1.170]"
1313,IMS2,1313,path:ath00966:35,path:ath00966:35,false,232,545,1,1,IMS2,IMS2,[IMS2],[ath:AT5G23020],"#66CC66","#FFFFFF",rn:R08631,gene,circle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT5G23020," 2-isopropylmalate synthase 2 [KO:K15742] [EC:2.3.3.17]"
1310,IMD1,1310,path:ath00966:33,path:ath00966:33,false,232,506,1,1,IMD1,IMD1,[IMD1],[ath:AT5G14200],"#66CC66","#FFFFFF",rn:R08629,gene,circle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT5G14200," isopropylmalate dehydrogenase 1 [KO:K21360] [EC:1.1.1.85 1.1.1.-]"
1307,IPMI2,1307,path:ath00966:32,path:ath00966:32,false,232,467,1,1,IPMI2...,IPMI2,[IPMI2...],"[ath:AT2G43100, ath:AT3G58990, ath:AT4G13430]","#66CC66","#FFFFFF",rn:R08628,gene,circle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT2G43100+ath:AT3G58990+ath:AT4G13430," isopropylmalate isomerase 2 [KO:K21359] [EC:4.2.1.33 4.2.1.170]"
1304,IMS2,1304,path:ath00966:31,path:ath00966:31,false,232,428,1,1,IMS2,IMS2,[IMS2],[ath:AT5G23020],"#66CC66","#FFFFFF",rn:R08627,gene,circle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT5G23020," 2-isopropylmalate synthase 2 [KO:K15742] [EC:2.3.3.17]"
1301,BCAT-1,1301,path:ath00966:30,path:ath00966:30,false,262,409,1,1,BCAT-1...,BCAT-1,[BCAT-1...],"[ath:AT1G10060, ath:AT1G10070, ath:AT1G50090, ath:AT1G50110, ath:AT3G49680, ath:AT5G65780]","#66CC66","#FFFFFF",rn:R08626,gene,circle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT1G10060+ath:AT1G10070+ath:AT1G50090+ath:AT1G50110+ath:AT3G49680+ath:AT5G65780," branched-chain amino acid transaminase 1 [KO:K00826] [EC:2.6.1.42]"
